publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title	zdb
China's economic growth prospects : from demographic dividend to reform dividend /		9781781005859 (e-book)							https://www.elgaronline.com/view/9781781005842.xml|https://doi.org/10.4337/9781781005859			Cai, Fang.	eep9781781005859		fulltext		Edward Elgar Pub. Ltd.,	Monograph		2016						P					
Economic reform in Asia : China, India, and Japan /		9781784711542 (e-book)							https://www.elgaronline.com/view/9781784711535.xml|https://doi.org/10.4337/9781784711542			Hsu, Sara.	eep9781784711542		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Financial intermediaries : an analysis of essential articles /		9781784719043 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781784719043/9781784719043.xml|https://doi.org/10.4337/9781784719043			Lewis, Mervyn.	eep9781784719043		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Accessibility, equity and efficiency : challenges for transport and public services /		9781784717896 (e-book)							https://www.elgaronline.com/view/9781784717889.xml|https://doi.org/10.4337/9781784717896				eep9781784717896		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
The economics of standards		9781784717322 (e-book)							https://www.elgaronline.com/view/Research_Reviews/9781784717315/9781784717315.xml|https://doi.org/10.4337/9781784717322			Link, Albert N.	eep9781784717322		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Politics as a peculiar business : insights from a theory of entangled political economy /		9781785365485 (e-book)							https://www.elgaronline.com/view/9781785365478.xml|https://doi.org/10.4337/9781785365485			Wagner, Richard E.	eep9781785365485		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
International yearbook of industrial statistics 2016		9781785364938 (e-book)							https://www.elgaronline.com/view/9781785364921.xml|https://doi.org/10.4337/9781785364938				eep9781785364938		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
The Elgar companion to Ronald H. Coase		9781782547990 (e-book)							https://www.elgaronline.com/view/9781782547983.xml|https://doi.org/10.4337/9781782547990				eep9781782547990		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
Innovation networks and the new Asian regionalism : a knowledge platform on economic productivity /		9781785364495 (e-book)							https://www.elgaronline.com/view/9781785364488.xml|https://doi.org/10.4337/9781785364495			Brunner, Hans-Peter.	eep9781785364495		fulltext			Monograph		2016						P					
Economic and natural disasters since 1900 : a comparative history /		9781782547358 (e-book)							https://www.elgaronline.com/view/9781782547341.xml|https://doi.org/10.4337/9781782547358			Singleton, John.	eep9781782547358		fulltext		Edward Elgar Pub.,	Monograph		2016						P					
